ID,Name
21666,WOOLWORTHS
21667,SCP
21668,ABACUS
21669,ALUMINA
21671,COMPUTERSHARE
21674,COCHLEAR
21676,AB INBEV
21678,ASML
21679,CK HUTCHISON
21680,CHINA LARGE-CAP
21681,MSCI CHINA
21682,SPDR S&P CHINA
21683,EUROPE
21684,LATIN AMERICA 40
21685,MSCI ALL COUNTRY ASIA
21686,MSCI AUSTRALIA
21687,MSCI BRAZIL
21688,MSCI BRIC
21689,MSCI CANADA
21690,MSCI CHILE
21691,MSCI GERMANY
21693,MSCI INDONESIA
21694,MSCI ITALY
21695,MSCI JAPAN
21696,MSCI MALAYSIA
21697,MSCI MEXICO
21698,MSCI PACIFIC
21699,MSCI SINGAPORE
21700,MSCI SOUTH KOREA
21701,MSCI SWITZERLAND
21702,MSCI TAIWAN
21703,MSCI THAILAND
21704,MSCI TURKEY
21705,MSCI UNITED KINGDOM
21706,ABBOTT
21707,ABERCROMBIE
21708,ACCO
21709,ACHILLION
21710,ACI
21711,ACTIVISION
21712,ADOBE
21713,ADVANCED MICRO DEVICES
21714,AECOM
21715,AEGION
21716,ACXIOM
21717,AGL RESOURCES
21718,ALLEGIANT TRAVEL
21719,ALON USA
21720,BANK OF THE OZARKS
21721,BANKUNITED
21722,BANNER
21723,BIOGEN
21724,BLACKROCK
21725,BROOKFIELD
21726,CAKE
21727,CITIZENS FINANCIAL
21728,COLGATE-PALMOLIVE
21729,COLUMBIA
21730,COMMERCE BANCSHARES
21731,DISCOVER FINANCIAL
21732,DONALDSON
21733,DR PEPPER SNAPPLE
21734,EAGLE MATERIALS
21735,ENERGIZER
21736,ESSEX PROPERTY TRUST
21737,FEDERAL REALTY
21738,FEDEX
21739,FORD MOTOR
21740,FRANKLIN RESOURCES
21741,GAMESTOP
21742,GAP
21743,GUESS
21744,HARLEY-DAVIDSON
21745,HERTZ
21746,HILTON
21747,HYATT
21748,IHS
21750,INTERACTIVE BROKERS
21752,JACK
21753,JETBLUE AIRWAYS
21754,KELLOGG
21755,KINDER MORGAN
21756,KIRBY
21757,KOSMOS ENERGY
21758,LANCASTER
21759,LASALLE HOTEL
21760,LIVEPERSON
21761,THE GARDEN
21762,MARRIOTT
21763,METLIFE
21764,MGM
21765,MOODYS
21766,MOSAIC
21767,MOTOROLA
21768,MSC
